[2025-02-03 17:49:00,377 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:00,378 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:00,378 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:00,378 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:00,380 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,380 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,380 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,380 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,380 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,427 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458998864.png
[2025-02-03 17:49:00,480 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458999912.png
[2025-02-03 17:49:00,529 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458999815.png
[2025-02-03 17:49:00,593 web_scraper.py->download_image():434]INFO: Downloaded: 19_1728458998048.png
[2025-02-03 17:49:00,594 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:00,595 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:00,595 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:00,596 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:00,597 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,597 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,597 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,597 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,597 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,650 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474811958.png
[2025-02-03 17:49:00,706 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474813087.png
[2025-02-03 17:49:00,760 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474811626.png
[2025-02-03 17:49:00,832 web_scraper.py->download_image():434]INFO: Downloaded: 21_1728474811765.png
[2025-02-03 17:49:00,833 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:00,834 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:00,834 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:00,834 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:00,835 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,835 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,835 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,835 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,836 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:01,429 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974429975.png
[2025-02-03 17:49:01,615 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974406783.png
[2025-02-03 17:49:01,940 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974415001.png
[2025-02-03 17:49:02,422 web_scraper.py->download_image():434]INFO: Downloaded: 23_1727974422689.png
[2025-02-03 17:49:02,423 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:02,423 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:02,424 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:02,424 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:02,425 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,425 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,425 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,425 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,425 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,467 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428838537.png
[2025-02-03 17:49:02,512 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428837946.png
[2025-02-03 17:49:02,556 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428838748.png
[2025-02-03 17:49:02,600 web_scraper.py->download_image():434]INFO: Downloaded: 25_1727428837932.png
[2025-02-03 17:49:02,601 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:02,601 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:02,602 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:02,602 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:02,603 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,603 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,603 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,603 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,603 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,637 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836477345.png
